Date,Open,High,Low,Close,Adj Close,Volume,Prev Close,change
2019-07-03,163.75,165.0,161.7,162.3,162.3,13606179,163.75,-0.8855
2019-07-04,162.5,167.75,162.0,165.2,165.2,19512938,162.3,1.7868
2019-07-05,165.15,166.95,159.5,160.2,160.2,14374084,165.2,-3.0266
2019-07-08,159.35,159.5,153.5,154.55,154.55,15149035,160.2,-3.5268
2019-07-09,154.0,157.15,152.75,155.8,155.8,16112345,154.55,0.8088
2019-07-10,156.25,156.25,149.1,151.65,151.65,31737846,155.8,-2.6637
2019-07-11,153.0,157.7,150.35,156.8,156.8,24099895,151.65,3.396
2019-07-12,155.9,162.85,154.0,159.3,159.3,27307153,156.8,1.5944
2019-07-15,159.0,162.6,157.85,160.95,160.95,19924720,159.3,1.0358
2019-07-16,159.8,170.95,159.05,170.0,170.0,39025331,160.95,5.6229
2019-07-17,170.0,172.35,166.3,167.9,167.9,25236730,170.0,-1.2353
2019-07-18,167.25,167.25,160.0,160.75,160.75,19055022,167.9,-4.2585
2019-07-19,161.45,162.4,153.85,154.85,154.85,18954216,160.75,-3.6703
2019-07-22,155.45,159.3,155.25,156.75,156.75,15995349,154.85,1.227
2019-07-23,157.4,159.0,154.8,156.2,156.2,12942555,156.75,-0.3509
2019-07-24,156.35,157.55,150.5,151.25,151.25,16292964,156.2,-3.169
2019-07-25,151.3,152.5,143.75,144.3,144.3,34364032,151.25,-4.595
2019-07-26,138.1,150.15,138.1,147.15,147.15,83905651,144.3,1.975
2019-07-29,146.9,146.9,136.85,137.55,137.55,38844222,147.15,-6.5239
2019-07-30,138.0,139.7,132.6,133.45,133.45,35725524,137.55,-2.9807
2019-07-31,133.5,136.4,132.5,135.6,135.6,27024859,133.45,1.6111
2019-08-01,135.5,136.3,127.55,129.55,129.55,38991424,135.6,-4.4617
2019-08-02,128.5,133.2,127.0,130.7,130.7,44016138,129.55,0.8877
2019-08-05,128.0,128.2,122.3,123.75,123.75,35452262,130.7,-5.3175
2019-08-06,123.05,126.55,121.75,122.5,122.5,34790369,123.75,-1.0101
2019-08-07,122.6,123.85,116.5,117.4,117.4,37287779,122.5,-4.1633
2019-08-08,118.0,125.0,116.9,124.05,124.05,35876237,117.4,5.6644
2019-08-09,124.5,126.5,120.7,122.05,122.05,39245417,124.05,-1.6123
2019-08-13,123.8,126.3,121.0,121.95,121.95,35498118,122.05,-0.0819
2019-08-14,122.7,123.8,118.6,120.9,120.9,30136178,121.95,-0.861
